"","Pick","ADP.WAV.S","ADP_WAV","griddyav","wav2022","wav2021","wav2020","wav2019","wav2018","drafted_2022","drafted_2021","drafted_2020","drafted_2019"
"97",97,2.13,21.3,63.9,21.3,17.04,12.78,8.52,4.26,42.6,25.56,12.78,4.26
"98",98,2.13,21.3,63.9,21.3,17.04,12.78,8.52,4.26,42.6,25.56,12.78,4.26
"99",99,2.12,21.2,63.6,21.2,16.96,12.72,8.48,4.24,42.4,25.44,12.72,4.24
"100",100,2.11,21.1,63.3,21.1,16.88,12.66,8.44,4.22,42.2,25.32,12.66,4.22
"101",101,2,20,60,20,16,12,8,4,40,24,12,4
"102",102,1.98,19.8,59.4,19.8,15.84,11.88,7.92,3.96,39.6,23.76,11.88,3.96
"103",103,1.97,19.7,59.1,19.7,15.76,11.82,7.88,3.94,39.4,23.64,11.82,3.94
"104",104,1.96,19.6,58.8,19.6,15.68,11.76,7.84,3.92,39.2,23.52,11.76,3.92
"105",105,1.93,19.3,57.9,19.3,15.44,11.58,7.72,3.86,38.6,23.16,11.58,3.86
"106",106,1.88,18.8,56.4,18.8,15.04,11.28,7.52,3.76,37.6,22.56,11.28,3.76
"107",107,1.87,18.7,56.1,18.7,14.96,11.22,7.48,3.74,37.4,22.44,11.22,3.74
"108",108,1.82,18.2,54.6,18.2,14.56,10.92,7.28,3.64,36.4,21.84,10.92,3.64
"109",109,1.79,17.9,53.7,17.9,14.32,10.74,7.16,3.58,35.8,21.48,10.74,3.58
"110",110,1.79,17.9,53.7,17.9,14.32,10.74,7.16,3.58,35.8,21.48,10.74,3.58
"111",111,1.77,17.7,53.1,17.7,14.16,10.62,7.08,3.54,35.4,21.24,10.62,3.54
"112",112,1.75,17.5,52.5,17.5,14,10.5,7,3.5,35,21,10.5,3.5
"113",113,1.7,17,51,17,13.6,10.2,6.8,3.4,34,20.4,10.2,3.4
"114",114,1.66,16.6,49.8,16.6,13.28,9.96,6.64,3.32,33.2,19.92,9.96,3.32
"115",115,1.63,16.3,48.9,16.3,13.04,9.78,6.52,3.26,32.6,19.56,9.78,3.26
"116",116,1.63,16.3,48.9,16.3,13.04,9.78,6.52,3.26,32.6,19.56,9.78,3.26
"117",117,1.63,16.3,48.9,16.3,13.04,9.78,6.52,3.26,32.6,19.56,9.78,3.26
"118",118,1.63,16.3,48.9,16.3,13.04,9.78,6.52,3.26,32.6,19.56,9.78,3.26
"119",119,1.6,16,48,16,12.8,9.6,6.4,3.2,32,19.2,9.6,3.2
"120",120,1.58,15.8,47.4,15.8,12.64,9.48,6.32,3.16,31.6,18.96,9.48,3.16
"121",121,1.53,15.3,45.9,15.3,12.24,9.18,6.12,3.06,30.6,18.36,9.18,3.06
